t,n_top,dt,dy,dx,dy_residual,dx_residual,confidence,q_eff
71,1000071,5,4.9998761,0.00044109063,9.9998761,0.00044109063,0.9574626,11335.539
72,1000072,5,5,0.00026431088,10,0.00026431088,0.95303684,18917.117
73,1000073,5,5.0000076,-7.6400173e-05,10.000008,-7.6400173e-05,0.96740638,
74,1000074,5,4.9998735,0.00021171057,9.9998735,0.00021171057,0.96577603,23617.149
75,1000075,5,4.9999757,0.00022509782,9.9999757,0.00022509782,0.96656546,22212.566
76,1000076,5,4.99948,0.00023532819,9.99948,0.00023532819,0.95312145,21246.923
77,1000077,5,4.9994513,8.553501e-05,9.9994513,8.553501e-05,0.959555,58455.596
78,1000078,5,4.9993854,-0.00029868536,9.9993854,-0.00029868536,0.95895505,
79,1000079,5,4.9998472,0.00067727546,9.9998472,0.00067727546,0.95928861,7382.5205
80,1000080,5,5.0000936,0.00072699609,10.000094,0.00072699609,0.95732204,6877.6161
81,1000081,5,4.9998398,-0.00035266404,9.9998398,-0.00035266404,0.97672223,
82,1000082,5,5.0001564,0.0003109837,10.000156,0.0003109837,0.97823175,16078.013
83,1000083,5,4.9998718,0.0005313703,9.9998718,0.0005313703,0.97711322,9409.6338
84,1000084,5,4.999855,-0.00039078803,9.999855,-0.00039078803,0.97387486,
85,1000085,5,4.9995505,-0.00040230323,9.9995505,-0.00040230323,0.9750554,
86,1000086,5,4.9999619,0.00023658821,9.9999619,0.00023658821,0.96384461,21133.767
87,1000087,5,5.0000802,7.5056202e-05,10.00008,7.5056202e-05,0.96956148,66616.747
88,1000088,5,4.9999714,0.00019952482,9.9999714,0.00019952482,0.96716448,25059.539
89,1000089,5,4.9999901,0.00029509933,9.9999901,0.00029509933,0.96439029,16943.447
90,1000090,5,4.9998424,0.00029154029,9.9998424,0.00029154029,0.96292529,17150.289
91,1000091,5,4.9998441,0.00038274302,9.9998441,0.00038274302,0.97559712,13063.595
92,1000092,5,4.9997821,-0.00011991707,9.9997821,-0.00011991707,0.96530946,
93,1000093,5,4.9998112,0.00026797285,9.9998112,0.00026797285,0.96706077,18658.607
94,1000094,5,5.0000942,0.00058906562,10.000094,0.00058906562,0.96284485,8488.0188
95,1000095,5,5.0000133,-0.00016975518,10.000013,-0.00016975518,0.96161158,
96,1000096,5,4.9995011,-0.00063591217,9.9995011,-0.00063591217,0.95451292,
97,1000097,5,4.9994488,0.00043075179,9.9994488,0.00043075179,0.96627142,11607.613
98,1000098,5,4.9999758,-0.00070534949,9.9999758,-0.00070534949,0.96097514,
99,1000099,5,4.9995721,3.9976129e-06,9.9995721,3.9976129e-06,0.96427268,1250746.4
100,1000100,5,5.0002803,0.00021409365,10.00028,0.00021409365,0.95615509,23354.266
101,1000101,5,4.9998309,-0.00048901084,9.9998309,-0.00048901084,0.9598442,
102,1000102,5,5.0001892,-0.00050073144,10.000189,-0.00050073144,0.95863361,
103,1000103,5,5.0000762,0.00032925892,10.000076,0.00032925892,0.96096283,15185.617
104,1000104,5,4.999775,-3.6863967e-05,9.999775,-3.6863967e-05,0.952819,
105,1000105,5,4.9998024,0.00054382062,9.9998024,0.00054382062,0.9600386,9194.2082
106,1000106,5,4.9999302,0.00059908096,9.9999302,0.00059908096,0.94779784,8346.1173
107,1000107,5,5.0002217,0.00015916652,10.000222,0.00015916652,0.95197352,31413.642
108,1000108,5,4.999762,-0.00021190123,9.999762,-0.00021190123,0.95138794,
109,1000109,5,5.0000075,-0.00013777015,10.000007,-0.00013777015,0.96534226,
110,1000110,5,4.9999265,-0.00030458119,9.9999265,-0.00030458119,0.96359064,
111,1000111,5,4.9999712,0.00027601755,9.9999712,0.00027601755,0.97666638,18114.79
112,1000112,5,4.999957,0.00042636926,9.999957,0.00042636926,0.97066848,11726.924
