p,method_rank_M18,killed_Q0,hazard,rank_M22,survive_Q1
3389,342,0,0.0,1,1
3833,387,0,0.0,2,1
4093,414,0,0.0,3,1
4657,472,0,0.0,4,1
5227,521,0,0.0,5,1
5281,525,0,0.0,6,1
5417,536,0,0.0,7,1
5501,547,0,0.0,8,1
5641,560,0,0.0,9,1
5813,579,0,0.0,10,1
5981,596,0,0.0,11,1
6113,611,0,0.0,12,1
6301,630,0,0.0,13,1
6311,631,0,0.0,14,1
6521,649,0,0.0,15,1
6581,656,0,0.0,16,1
6637,660,0,0.0,17,1
6659,662,0,0.0,18,1
6703,669,0,0.0,19,1
6733,672,0,0.0,20,1
6791,678,0,0.0,21,1
6907,690,0,0.0,22,1
7213,717,0,0.0,23,1
7411,735,0,0.0,24,1
7507,746,0,0.0,25,1
7537,750,0,0.0,26,1
7541,751,0,0.0,27,1
7547,752,0,0.0,28,1
7549,753,0,0.0,29,1
7591,759,0,0.0,30,1
7607,761,0,0.0,31,1
7639,763,0,0.0,32,1
7723,772,0,0.0,33,1
7753,775,0,0.0,34,1
7789,778,0,0.0,35,1
7817,780,0,0.0,36,1
7841,782,0,0.0,37,1
7867,783,0,0.0,38,1
7877,785,0,0.0,39,1
8171,813,0,0.0,40,1
8191,815,0,0.0,41,1
8209,816,0,0.0,42,1
8221,818,0,0.0,43,1
8233,820,0,0.0,44,1
8287,825,0,0.0,45,1
8329,831,0,0.0,46,1
8539,851,0,0.0,47,1
8543,852,0,0.0,48,1
8563,853,0,0.0,49,1
8623,859,0,0.0,50,1
8647,863,0,0.0,51,1
8689,867,0,0.0,52,1
8737,874,0,0.0,53,1
8747,876,0,0.0,54,1
8803,881,0,0.0,55,1
8839,887,0,0.0,56,1
8941,897,0,0.0,57,1
9013,905,0,0.0,58,1
9049,909,0,0.0,59,1
9103,912,0,0.0,60,1
9109,913,0,0.0,61,1
9137,916,0,0.0,62,1
9161,919,0,0.0,63,1
9199,923,0,0.0,64,1
9221,926,0,0.0,65,1
9227,927,0,0.0,66,1
9241,929,0,0.0,67,1
9293,934,0,0.0,68,1
9403,945,0,0.0,69,1
9437,950,0,0.0,70,1
9439,951,0,0.0,71,1
9467,954,0,0.0,72,1
9491,956,0,0.0,73,1
9521,959,0,0.0,74,1
9533,960,0,0.0,75,1
9601,964,0,0.0,76,1
9679,974,0,0.0,77,1
9803,987,0,0.0,78,1
9817,989,0,0.0,79,1
9859,995,0,0.0,80,1
10007,1008,0,0.0,81,1
10009,1009,0,0.0,82,1
10151,1023,0,0.0,83,1
10193,1028,0,0.0,84,1
10243,1031,0,0.0,85,1
10273,1036,0,0.0,86,1
10289,1037,0,0.0,87,1
10301,1038,0,0.0,88,1
10343,1044,0,0.0,89,1
10463,1055,0,0.0,90,1
10613,1069,0,0.0,91,1
10627,1070,0,0.0,92,1
10739,1083,0,0.0,93,1
10837,1089,0,0.0,94,1
10847,1090,0,0.0,95,1
10909,1098,0,0.0,96,1
10937,1099,0,0.0,97,1
10957,1102,0,0.0,98,1
10993,1106,0,0.0,99,1
11027,1108,0,0.0,100,1
11069,1112,0,0.0,101,1
11113,1117,0,0.0,102,1
11131,1120,0,0.0,103,1
11197,1126,0,0.0,104,1
11213,1127,0,0.0,105,1
11239,1128,0,0.0,106,1
11251,1130,0,0.0,107,1
11329,1140,0,0.0,108,1
11351,1141,0,0.0,109,1
11411,1147,0,0.0,110,1
11497,1156,0,0.0,111,1
11549,1159,0,0.0,112,1
11551,1160,0,0.0,113,1
11587,1161,0,0.0,114,1
11621,1165,0,0.0,115,1
11677,1168,0,0.0,116,1
11681,1169,0,0.0,117,1
11779,1177,0,0.0,118,1
11827,1183,0,0.0,119,1
