f_idx,power
1,305265.89318624756
2,165241.53677719232
3,70592.81199036582
4,79118.83137665644
5,84184.74332045605
6,75526.09391381597
7,20061.04119091301
8,25740.522417517695
9,20594.71078502773
10,19220.019729843112
11,63316.265777851404
12,12630.070845103864
13,2460.9082413683573
14,26637.034866478327
15,1731.9864399170237
16,561.124026363895
17,17172.791307866373
18,14944.620995214784
19,8058.5063195179055
20,19079.57523960229
21,3121.8522843742035
22,4891.114538738479
23,42987.00963940977
24,713.9982785104893
25,18990.8363161361
26,1359.5709334964993
27,17434.27074867711
28,24652.97769337759
29,2242.852702276648
30,1123.626495836746
31,3330.5724366121945
32,8868.88158748356
33,2568.045676779568
34,9608.394809126681
35,9518.265875050929
36,1140.3210528207421
37,1020.0794319586014
38,11486.9889797901
39,6099.525026398389
40,4429.048434617638
41,2254.9982891151058
42,4913.191769165562
43,1412.507689732221
44,4971.240713877022
45,308.1319569805709
46,7194.398206222078
47,1276.6487584802958
48,2322.400260335291
49,2308.5823430129085
50,1743.697741623625
51,21554.394369787147
52,3940.670654526726
53,13925.07166136904
54,16837.63087237573
55,6702.20976839765
56,3152.36264810676
57,2433.1431240003103
58,2669.763984402856
59,8253.0438583616
60,12113.724860444536
61,9809.209462827015
62,16796.48045376976
63,7557.653413209172
64,6250.877193572902
65,3081.593134010221
66,566.3786806998047
67,4936.033362926696
68,9129.428974447459
69,3362.572520394775
70,24400.100995194727
71,1628.378522407737
72,4903.251283071885
73,5080.563773189467
74,24195.437750851535
75,2008.1557144365793
76,23986.818941566362
77,5706.131118623856
78,27090.116549818034
79,16895.604575090016
80,33.571846005560666
81,15765.757223495082
82,15838.64256110149
83,26336.1473152918
84,35620.70073589842
85,7304.3158109813085
86,5490.1386953402
87,6009.205594287998
88,12232.624774310692
89,3992.4677015617112
90,6046.6812247504095
91,1890.6373205747382
92,2047.5673946240195
93,2226.7878268268114
94,1320.3503765659632
95,15645.263389069582
96,28174.07079341539
97,12156.373875386873
98,634.1476098847148
99,10791.6001031435
100,6793.62932057733
101,2988.5003191252013
102,14208.163864121147
103,4486.4275210973565
104,25694.660384592786
105,10269.885066971276
106,1163.2057124820253
107,7340.408133039552
108,5074.234505069764
109,41059.84292337708
110,27433.694772533414
111,21396.30068689968
112,31482.416470732518
113,1336.5847392765381
114,415.9648367628704
115,4995.5196575665595
116,1522.9724960026501
117,36022.84376689511
118,2689.348730892772
119,20344.87767787307
120,17057.415809324953
121,3941.981191366848
122,19288.329635855654
123,25076.1697709384
124,15822.175447836393
125,704.2260693820592
126,12766.78354832743
127,6732.629001637727
128,472.61762065683814
129,20186.058159393444
130,1154.5110410073742
131,3498.6927940585833
132,25492.584875783603
133,758.0490934005777
134,332.5856834848538
135,1615.3203086272795
136,17927.861615419428
137,10427.217642075
138,5081.682958153253
139,4772.274333322784
140,965.7603153346633
141,6232.26931688765
142,739.8742793697916
143,9810.982545156907
144,72983.50667591166
145,5313.476078966885
146,2130.9427259427794
147,2479.1515550317154
148,9722.261891412587
149,4967.073416018337
150,15003.250363204721
151,2147.2000983948005
152,22987.152340559354
153,714.376518683686
154,6936.677548203727
155,10469.44672871208
156,3971.583594313801
157,37520.58464673549
158,11342.888088013386
159,960.9743641147226
160,900.8531488808648
161,3104.957883807764
162,17941.260834821584
163,2603.349500132325
164,9425.191695243731
165,3454.9577774799523
166,9675.2108687566
167,4369.394969356793
168,14042.10572940504
169,3291.029643597247
170,6207.006950010052
171,198.81503074729233
172,9839.991551818779
173,11164.450370444723
174,6358.991994931166
175,11019.374435193635
176,6466.13011001701
177,10913.311358441862
178,5608.488046467033
179,12273.225083673446
180,2779.33055980424
181,15255.055497009107
182,7644.536897951883
183,2138.529070095446
184,17293.874612940206
185,13759.435073245695
186,2841.9786967753307
187,9495.220753021984
188,2272.7787627486614
189,6579.746918820757
190,7731.040676684856
191,36942.614401901075
192,9186.600946152479
193,7534.750503765513
194,672.958177428544
195,10184.294951162923
196,9710.075245989403
197,25037.97325194361
198,3781.1257926509893
199,3784.330475427616
200,2265.988952401691
201,883.7506322368777
202,5891.886067046668
203,2820.3251828885645
204,102.18645797316871
205,970.0042465545449
206,2309.444360324221
207,3539.257795255847
208,5611.756989245031
209,901.8607863158189
210,3484.7465299271207
211,13490.51769974603
212,3030.6487646966134
213,4137.953683400463
214,3148.177323234808
215,1576.3009446040014
216,2772.1355843866413
217,5395.063047699083
218,1191.3144638200383
219,19812.82405377604
220,36855.27442320729
221,12559.56498588533
222,5974.89535590326
223,6702.073181772674
224,2912.050303098676
225,2054.6736486548903
226,106.09973113937954
227,690.2454357140414
228,2362.1302919393497
229,6065.157815136863
230,13965.30150281303
