layer,rank,period,power,harmonic_fit,rel_error
1,1,2.5998855998856,631405.6931622927,13/5,4.400198008914694e-05
1,2,4.332936129647283,552461.230125951,13/3,9.167079185220277e-05
1,3,4.249883122954651,552229.1656502644,17/(2*2),2.7501237555755862e-05
1,4,6.5001787629603145,521554.5736075041,13/(2*1),2.7501237555670125e-05
1,5,2.1249415614773257,413054.9900372867,17/(2*4),2.7501237555755862e-05
1,6,2.111124013005109,333592.27311578713,19/9,6.1113861234928014e-06
1,7,6.332636711947057,287306.7848064928,19/3,0.00011000495022270995
1,8,4.333969010727056,274272.16884720366,13/3,0.00014667326696381653
1,9,3.8332279148218427,253904.95907385868,23/(2*3),2.7501237555742228e-05
1,10,3.1668698832955933,247167.92757958945,19/(2*3),6.416955429670932e-05
2,1,17.048780487804876,5888.661027131264,17/1,0.0028612303290413863
2,2,9.510204081632653,4997.08290668463,19/(2*1),0.001072961373390501
2,3,4.249240121580547,4116.5459074754435,17/(2*2),0.00017882689556515018
2,4,5.659919028340081,3887.3296388973786,17/3,0.0011921793037673568
2,5,2.5557586837294335,3742.5494762923518,23/9,7.947862025131448e-05
2,6,6.32579185520362,3697.117070222826,19/3,0.0011921793037672824
2,7,3.4014598540145986,3548.531082777463,17/5,0.00042918454935626836
2,8,18.89189189189189,3540.6200608674094,19/1,0.005722460658083011
2,9,8.524390243902438,3393.0403636379374,17/(2*1),0.0028612303290413863
2,10,4.755102040816326,3368.466342703945,19/(2*2),0.001072961373390501
3,1,5.857142857142857,143.39514940853547,29/5,0.009756097560975575
3,2,2.1025641025641026,142.88736590828435,19/9,0.00406504065040649
3,3,7.454545454545454,140.7051309692924,37/5,0.007317073170731606
3,4,3.28,137.62370997388155,23/7,0.0017421602787456656
3,5,2.9285714285714284,134.53065765124515,29/(2*5),0.009756097560975575
3,6,4.823529411764706,134.49303172574864,29/(2*3),0.002032520325203245
3,7,2.411764705882353,133.95021061565177,29/(2*6),0.002032520325203245
3,8,3.1538461538461537,133.77059711036898,19/(2*3),0.00406504065040649
3,9,2.5625,133.39993998937084,23/9,0.00271002710027108
3,10,2.05,133.1704981177268,37/(2*9),0.002710027100270993
