segment_idx,rank,f_idx,power
0,1,6154,78653.91772036048
0,2,7273,75029.5613260103
0,3,3636,57830.25577715737
0,4,7692,50559.447831997735
0,5,9091,40705.510910286604
1,1,3636,70896.02619764654
1,2,6154,53002.36453476059
1,3,7273,40188.30548815294
1,4,7692,36756.12395209371
1,5,2105,21784.410090727433
2,1,7273,57756.36364987979
2,2,3636,40445.27550497368
2,3,6154,31347.216744653564
2,4,9091,28268.110326752205
2,5,8235,27027.41573336653
3,1,3636,46893.69428932728
3,2,7273,43724.71180515397
3,3,5882,30269.271037535058
3,4,7692,26545.963893135075
3,5,6154,26451.473039045562
4,1,3636,41945.32128736462
4,2,7692,41349.448764113105
4,3,6154,35261.27671056349
4,4,9091,23083.689514060636
4,5,7273,22822.592993500442
5,1,7273,44913.96098187852
5,2,3636,37359.830385047084
5,3,7692,29895.88153045218
5,4,9091,25636.334062202517
5,5,6154,25129.477299714326
6,1,7273,36915.806908188126
6,2,6154,34026.14534976715
6,3,3636,32468.879273291088
6,4,9091,25538.44704016512
6,5,8421,21118.005486042788
7,1,9091,36237.550527575906
7,2,7692,35968.61854872434
7,3,3636,33487.12240881438
7,4,7273,25281.26835563717
7,5,6154,24066.971473394635
8,1,6154,41488.040877504
8,2,7273,33295.46611787461
8,3,3636,32496.53868888625
8,4,1538,21478.420478623088
8,5,9565,18178.152422751176
9,1,9091,31916.796595200343
9,2,7273,31638.298110084663
9,3,7692,30563.98605053467
9,4,3636,27746.165478148367
9,5,6154,26134.974381331158
