layer,rank,period,power,harmonic_fit,rel_error
1,1,2.7143516382095063,118844.63820683885,19/7,2.428717151598885e-05
1,2,3.166621803499327,107445.90845228035,19/(2*3),1.4167516717575301e-05
1,3,19.004846526655896,90259.50273382395,19/1,0.0002550153009180418
1,4,2.0910060433700677,76686.44404041002,23/11,4.636641834884098e-05
1,5,23.021526418786692,64252.20755207759,23/1,0.0009350561033661754
1,6,3.7997416020671833,63521.01446657129,19/5,6.800408024482261e-05
1,7,2.3751261861498083,62555.77176507157,19/(2*4),5.3128187691306924e-05
1,8,2.299902248289345,56958.145713587226,23/(2*5),4.2502550152970523e-05
1,9,11.499511241446726,55382.912941083945,23/(2*1),4.2502550152970523e-05
1,10,2.555724527482077,54022.42944690542,23/9,6.611507801582417e-05
2,1,5.731481481481482,1061.323622515626,23/(2*2),0.0032310177705976747
2,2,2.3011152416356877,947.3972518844193,23/(2*5),0.000484652665589725
2,3,2.38996138996139,945.492743641221,29/(2*6),0.011173936456650498
2,4,9.671875,942.3219827654457,29/3,0.000538502961766351
2,5,6.068627450980392,926.6807426028648,37/(2*3),0.016155088852988782
2,6,11.462962962962964,920.549524033873,23/(2*1),0.0032310177705976747
2,7,5.839622641509434,908.7982858913224,41/7,0.0030002307869834858
2,8,2.0912162162162162,905.7006294666328,23/11,0.00014686444411812338
2,9,2.41796875,904.0889890713197,29/(2*6),0.000538502961766351
2,10,5.3826086956521735,897.4831844886724,37/7,0.01800138472190163
3,1,6.5,36.3812735800688,31/5,0.04615384615384613
3,2,26.0,36.341936275242986,29/1,0.11538461538461539
3,3,2.3636363636363638,36.11504292232492,43/(2*9),0.010683760683760611
3,4,2.6,35.98582557993568,31/(2*6),0.0064102564102563875
3,5,5.2,35.972938938571616,31/(2*3),0.0064102564102563875
3,6,2.888888888888889,35.91985505833761,29/(2*5),0.0038461538461538325
3,7,2.0,35.74542192304039,43/(2*11),0.022727272727272707
3,8,3.25,35.72702421359322,29/9,0.008547008547008517
3,9,8.666666666666666,35.696639317769,43/5,0.007692307692307666
3,10,13.0,35.229570809674726,37/3,0.05128205128205124
