segment_idx,rank,f_idx,power
0,1,9474,17486.74528694385
0,2,1739,16720.940516955307
0,3,7059,16428.823865439506
0,4,6316,13399.443892200099
0,5,2353,13120.710649176455
1,1,6316,16102.70630257673
1,2,3158,12456.085300645536
1,3,3529,10897.045139421209
1,4,9474,10556.55276967214
1,5,9412,10191.15425883635
2,1,5882,15100.038562922951
2,2,7059,13978.816803545647
2,3,9412,11110.55076831822
2,4,3158,10454.43365025066
2,5,6207,9253.265149492207
3,1,3478,11697.117902402273
3,2,5882,11663.412198988819
3,3,9412,10719.931537296843
3,4,1739,9954.019211529714
3,5,8276,9934.642966851614
4,1,6316,15434.719666069695
4,2,9412,14267.914619708738
4,3,3158,13492.175209823987
4,4,2353,10619.238748198208
4,5,7059,9181.056233444757
5,1,6316,12463.504326622215
5,2,1739,11744.107659188034
5,3,7059,9220.285072370076
5,4,2353,9065.247983048324
5,5,3529,8690.94131004424
6,1,7059,15875.765089963548
6,2,9412,10141.772984394429
6,3,5882,10053.072553096476
6,4,7369,8399.607541236872
6,5,3529,8288.9986717717
7,1,7059,16736.569595232228
7,2,6316,13744.773430503916
7,3,3478,13241.908017013518
7,4,9412,12899.16335859267
7,5,1739,11333.342704882338
8,1,3529,14868.399936355885
8,2,9412,11461.418260612496
8,3,9474,11161.48268828196
8,4,3158,10554.99615640769
8,5,3478,8268.16851288557
9,1,3158,14873.255699482523
9,2,7059,14673.580493633124
9,3,1739,13038.107166301283
9,4,6316,10060.96315954297
9,5,2069,8822.10779856593
